SYMBOL,E10,E11,E12,E13,E14,E15,E16,P0
0610005C13Rik,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
0610009E02Rik,ACTIVE,QUIESCENT,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,QUIESCENT
0610009L18Rik,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,ACTIVE,POISED,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE
0610010K14Rik,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
0610030E20Rik,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
0610038B21Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,ACTIVE,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
0610039K10Rik,PERMISSIVE_ACTIVE,QUIESCENT,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE
0610040B10Rik,QUIESCENT,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
0610040F04Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
0610040J01Rik,ACTIVE,LOW_PRIMED,LOW_PRIMED,POISED,POISED,PRIMED,LOW_PRIMED,LOW_PRIMED
0610043K17Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1110002E22Rik,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED
1110002J07Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1110002L01Rik,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1110004F10Rik,LOW_PRIMED,PERMISSIVE_ACTIVE,POISED,POISED,LOW_PRIMED,PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED
1110006O24Rik,ACTIVE,ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,ACTIVE
1110015O18Rik,PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1110019D14Rik,PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1110020A21Rik,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1110028F11Rik,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
1110028F18Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1110032F04Rik,ACTIVE,LOW_PRIMED,ACTIVE,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,ACTIVE
1110038B12Rik,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1110038F14Rik,ACTIVE,QUIESCENT,ACTIVE,ACTIVE,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_ACTIVE
1110046J04Rik,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
1110059E24Rik,ACTIVE,ACTIVE,ACTIVE,PRIMED,ACTIVE,ACTIVE,ACTIVE,PRIMED
1110059G10Rik,ACTIVE,ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE
1110065P20Rik,ACTIVE,ACTIVE,PRIMED,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1190005I06Rik,LOW_PRIMED,LOW_PRIMED,POISED,POISED,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE
1190028D05Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1300002E11Rik,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,ACTIVE
1500004A13Rik,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_ACTIVE,QUIESCENT,QUIESCENT,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,QUIESCENT
1500009L16Rik,ACTIVE,LOW_PRIMED,LOW_PRIMED,PRIMED,POISED,LOW_PRIMED,ACTIVE,LOW_PRIMED
1500011B03Rik,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
1500015A07Rik,ACTIVE,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,LOW_PRIMED,PERMISSIVE_ACTIVE,LOW_PRIMED,PERMISSIVE_ACTIVE,PERMISSIVE_POISED
1500015L24Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1500026H17Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT
1600002D24Rik,POISED,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1600010M07Rik,POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1600012H06Rik,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,QUIESCENT
1600012P17Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1600014C10Rik,ACTIVE,QUIESCENT,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1600014C23Rik,ACTIVE,QUIESCENT,LOW_PRIMED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
1600019K03Rik,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT
1600020E01Rik,ACTIVE,ACTIVE,ACTIVE,PRIMED,ACTIVE,PRIMED,ACTIVE,ACTIVE
1600023N17Rik,ACTIVE,ACTIVE,ACTIVE,ACTIVE,LOW_PRIMED,ACTIVE,ACTIVE,LOW_PRIMED
1600025M17Rik,LOW_PRIMED,N/A,LOW_PRIMED,QUIESCENT,N/A,N/A,LOW_PRIMED,N/A
1600027J07Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1600029I14Rik,POISED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,QUIESCENT
1700001D01Rik,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
1700001G01Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1700001G11Rik,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1700001G17Rik,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,QUIESCENT,QUIESCENT
1700001J03Rik,LOW_PRIMED,REFRACTORY,LOW_PRIMED,QUIESCENT,QUIESCENT,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700001K19Rik,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
1700001K23Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700001L05Rik,QUIESCENT,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,QUIESCENT,PERMISSIVE_POISED
1700001O22Rik,ACTIVE,PERMISSIVE_ACTIVE,POISED,POISED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_POISED
1700003D09Rik,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,PERMISSIVE_ACTIVE
1700003E16Rik,QUIESCENT,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT
1700003F12Rik,PERMISSIVE_ACTIVE,QUIESCENT,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,PERMISSIVE_POISED,PERMISSIVE_POISED
1700003G18Rik,ACTIVE,LOW_PRIMED,PRIMED,PRIMED,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,LOW_PRIMED
1700003H04Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700003I22Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700003L19Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700003M07Rik,POISED,LOW_PRIMED,POISED,POISED,PERMISSIVE_POISED,POISED,PERMISSIVE_ACTIVE,LOW_PRIMED
1700003P14Rik,PRIMED,PERMISSIVE_POISED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700006A11Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700006F04Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700006H21Rik,POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED
1700007F19Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700007J10Rik,PRIMED,QUIESCENT,LOW_PRIMED,PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
1700007L15Rik,ACTIVE,ACTIVE,ACTIVE,PRIMED,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1700008C04Rik,LOW_PRIMED,LOW_PRIMED,ACTIVE,LOW_PRIMED,LOW_PRIMED,ACTIVE,ACTIVE,LOW_PRIMED
1700008J07Rik,ACTIVE,N/A,PERMISSIVE_ACTIVE,QUIESCENT,N/A,N/A,N/A,N/A
1700008K24Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,POISED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED
1700008O03Rik,ACTIVE,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,ACTIVE,LOW_PRIMED,PERMISSIVE_ACTIVE
1700008P02Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700009J07Rik,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
1700009N14Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1700010B08Rik,PERMISSIVE_ACTIVE,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
1700010D01Rik,LOW_PRIMED,PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,QUIESCENT,PRIMED
1700010I02Rik,PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700010I14Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700010J16Rik,PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700010K23Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1700010N08Rik,REFRACTORY,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700011B04Rik,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
1700011C11Rik,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
1700011L22Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700012A03Rik,PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700012B07Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700012B09Rik,LOW_PRIMED,QUIESCENT,PERMISSIVE_POISED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,QUIESCENT,QUIESCENT
1700012C14Rik,ACTIVE,QUIESCENT,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,QUIESCENT
1700012D16Rik,POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700012I11Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1700013G24Rik,QUIESCENT,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700013H16Rik,QUIESCENT,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,N/A,QUIESCENT,QUIESCENT
1700016G22Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700016H13Rik,ACTIVE,LOW_PRIMED,LOW_PRIMED,POISED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_ACTIVE,QUIESCENT
1700016K05Rik,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700016L04Rik,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
1700016L21Rik,PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700016P04Rik,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700017B05Rik,ACTIVE,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700017G19Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700017J07Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700017L05Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1700017N19Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT,LOW_PRIMED
1700018A04Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700018B08Rik,POISED,LOW_PRIMED,PERMISSIVE_POISED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700018F24Rik,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
1700018L02Rik,ACTIVE,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,PERMISSIVE_ACTIVE,QUIESCENT,QUIESCENT
1700019A02Rik,POISED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700019C18Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1700019D03Rik,PRIMED,LOW_PRIMED,POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700019E08Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1700019G24Rik,LOW_PRIMED,PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED
1700019M22Rik,PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1700019P21Rik,LOW_PRIMED,QUIESCENT,PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700020D14Rik,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
1700020G17Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700020L13Rik,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
1700020L24Rik,ACTIVE,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,QUIESCENT
1700020M21Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700020N01Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700020N15Rik,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,N/A
1700020N18Rik,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
1700021F02Rik,REFRACTORY,QUIESCENT,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT,LOW_PRIMED,QUIESCENT,PERMISSIVE_POISED
1700021N21Rik,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_ACTIVE,LOW_PRIMED,PERMISSIVE_ACTIVE,LOW_PRIMED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
1700022A21Rik,LOW_PRIMED,QUIESCENT,QUIESCENT,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
1700022A22Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1700022E09Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700022H01Rik,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,PERMISSIVE_ACTIVE
1700022H16Rik,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
1700023C21Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,QUIESCENT
1700023F02Rik,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700024B18Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700024G13Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,QUIESCENT,QUIESCENT
1700024I08Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700025B11Rik,QUIESCENT,N/A,LOW_PRIMED,N/A,N/A,N/A,N/A,N/A
1700025C18Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
1700025F24Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700025G04Rik,ACTIVE,ACTIVE,ACTIVE,PRIMED,ACTIVE,LOW_PRIMED,ACTIVE,ACTIVE
1700025J12Rik,LOW_PRIMED,QUIESCENT,PERMISSIVE_POISED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,N/A
1700025K24Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED
1700025M24Rik,LOW_PRIMED,QUIESCENT,PERMISSIVE_POISED,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
1700025N23Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
1700026D11Rik,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700026F02Rik,PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700026J14Rik,ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,LOW_PRIMED,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE
1700027F06Rik,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,N/A,N/A,N/A,N/A,LOW_PRIMED
1700027F09Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700027H10Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,PRIMED
1700027J07Rik,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700028B04Rik,QUIESCENT,LOW_PRIMED,PERMISSIVE_POISED,QUIESCENT,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
1700028D13Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT
1700028E10Rik,POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700028I16Rik,POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT
1700028J19Rik,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
1700028K03Rik,POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700028M03Rik,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700028P15Rik,PRIMED,PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
1700029F12Rik,ACTIVE,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700029H14Rik,LOW_PRIMED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,QUIESCENT
1700029J03Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
1700029M20Rik,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700029N11Rik,POISED,LOW_PRIMED,PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
1700030A11Rik,PERMISSIVE_POISED,QUIESCENT,PERMISSIVE_POISED,PERMISSIVE_POISED,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
1700030C10Rik,PRIMED,REFRACTORY,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,PRIMED,QUIESCENT,LOW_PRIMED
1700030C14Rik,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
1700030F04Rik,POISED,PRIMED,LOW_PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED
