SYMBOL,E10,E11,E12,E13,E14,E15,E16,P0
Mir7057,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT
Mir7058,QUIESCENT,QUIESCENT,N/A,QUIESCENT,QUIESCENT,N/A,N/A,QUIESCENT
Mir7059,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,N/A,QUIESCENT,QUIESCENT,N/A
Mir706,PERMISSIVE_ACTIVE,QUIESCENT,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,LOW_PRIMED
Mir7060,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7061,QUIESCENT,QUIESCENT,LOW_PRIMED,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7062,QUIESCENT,N/A,QUIESCENT,QUIESCENT,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir7063,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,LOW_PRIMED,QUIESCENT,PERMISSIVE_ACTIVE
Mir7066,PERMISSIVE_POISED,QUIESCENT,LOW_PRIMED,LOW_PRIMED,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
Mir7067,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,N/A
Mir7070,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7071,ACTIVE,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,PERMISSIVE_ACTIVE,QUIESCENT,QUIESCENT
Mir7072,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT
Mir7074,PERMISSIVE_POISED,N/A,N/A,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
Mir7075,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE,ACTIVE,ACTIVE,PERMISSIVE_ACTIVE
Mir7076,PERMISSIVE_POISED,LOW_PRIMED,PERMISSIVE_POISED,LOW_PRIMED,LOW_PRIMED,LOW_PRIMED,QUIESCENT,LOW_PRIMED
Mir7077,PERMISSIVE_POISED,QUIESCENT,PERMISSIVE_ACTIVE,PERMISSIVE_ACTIVE,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7078,PERMISSIVE_ACTIVE,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT
Mir7079,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir708,LOW_PRIMED,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_POISED,PERMISSIVE_ACTIVE,QUIESCENT,QUIESCENT
Mir7080,LOW_PRIMED,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
Mir7082,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7083,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,PERMISSIVE_ACTIVE,LOW_PRIMED,QUIESCENT,QUIESCENT
Mir7084,QUIESCENT,QUIESCENT,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7085,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7086,POISED,PRIMED,LOW_PRIMED,PRIMED,PRIMED,PRIMED,LOW_PRIMED,LOW_PRIMED
Mir7087,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,PERMISSIVE_ACTIVE
Mir7088,LOW_PRIMED,QUIESCENT,N/A,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT
Mir7089,QUIESCENT,QUIESCENT,QUIESCENT,LOW_PRIMED,QUIESCENT,QUIESCENT,QUIESCENT,LOW_PRIMED
Mir709,PERMISSIVE_POISED,QUIESCENT,QUIESCENT,QUIESCENT,QUIESCENT,PERMISSIVE_POISED,QUIESCENT,QUIESCENT
